district,attraction,style,budget,travel_route,weather
Kaski,Devis Fall,cultural,4627.86,,cold
Dang,Deukhuri,cultural,2590.95,Dang to Pyuthan,cold
Mustang,Kagbeni,cultural,573.21,,cold
Sindhupalchok,Bhimeshwar,cultural,703.66,Sindhupalchok to Dolakha to Kavrepalanchok,warm
Doti,Jajarkot,cultural,3307.15,Doti to Bajura,sunny
Sindhupalchok,Bhimeshwar,cultural,3861.63,Sindhupalchok to Langtang,cold
Sunsari,Barahachhetra,cultural,526.31,,sunny
Achham,Mangalsen,cultural,3613.13,Achham to Kailali to Doti to Bajura,cold
Lamjung,Madhya Nepal,cultural,4120.88,,sunny
Ramechhap,Tashi Ling Monastery,cultural,4171.86,,cold
Lalitpur,Patan Durbar Square,cultural,2665.03,,sunny
Sunsari,Barahachhetra,cultural,887.42,,cold
Bajhang,Chainpur,cultural,1024.06,Bajhang to Bajura to Doti,any
Lalitpur,Hiranya Varna Mahavihar (Golden Temple),cultural,3133.52,,sunny
Okhaldhunga,Chyangli,cultural,2002.33,Okhaldhunga to Sankhuwasabha to Terhathum,sunny
Syangja,Galeshwor Temple,cultural,666.58,,rainy
Kailali,Dhangadhi,cultural,3714.31,,cold
Sindhuli,Sindhuligadhi Fort,cultural,1705.32,Sindhuli to Mahottari,cold
Gorkha,Manakamana Temple,cultural,3638.81,,sunny
Ramechhap,Tashi Ling Monastery,cultural,2047.31,,sunny
Dolakha,Kalinchowk Bhagwati Temple,cultural,1090.21,Dolakha to Sindhuli to Sarlahi,sunny
Makwanpur,Chitlang,cultural,1771.06,Makwanpur to Rautahat,cold
Ramechhap,Tashi Ling Monastery,cultural,3225.87,,sunny
Kailali,Dhangadhi,cultural,1556.24,Kailali to Achham to Bajura,cold
Makwanpur,Chitlang,cultural,4225.77,,cold
Chitwan,Elephant Breeding Center,cultural,2437.79,,cold
Siraha,Lahan,cultural,1660.2,,rainy
Bhaktapur,Taumadhi Square,cultural,1703.71,Bhaktapur to Sindhupalchok to Kavrepalanchok to Kathmandu,sunny
Kaski,International Mountain Museum,cultural,4095.44,Kaski to Lamjung,any
Syangja,Galeshwor Temple,cultural,2782.88,,sunny
Saptari,Rajbiraj,cultural,1206.65,,sunny
Nawalparasi,Devghat,cultural,3796.48,,sunny
Dolakha,Kalinchowk Bhagwati Temple,cultural,1053.43,Dolakha to Ramechhap,sunny
Achham,Mangalsen,cultural,1790.41,,sunny
Dang,Deukhuri,cultural,3332.48,Dang to Banke to Surkhet,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,2360.34,,warm
Sankhuwasabha,Khandbari,cultural,4746.83,Sankhuwasabha to Terhathum to Panchthar,warm
Mustang,Tiji Festival,cultural,1916.62,,any
Kaski,International Mountain Museum,cultural,3916.37,,cold
Kaski,International Mountain Museum,cultural,2386.87,Kaski to Manang,cold
Gorkha,Gorkha Durbar,cultural,4221.52,,any
Nuwakot,Nuwakot Durbar,cultural,2507.85,,sunny
Bajura,Badimalika Temple,cultural,4494.54,,cold
Ramechhap,Tashi Ling Monastery,cultural,879.26,,cold
Kavrepalanchok,Namobuddha Monastery,cultural,1461.81,,cold
Dolakha,Kalinchowk Bhagwati Temple,cultural,605.4,,cold
Mahottari,Bardibas,cultural,4245.03,,rainy
Nawalparasi,Lumbini,cultural,3793.94,,cold
Nawalparasi,Devghat,cultural,1057.16,Nawalparasi to Gulmi to Palpa,cold
Doti,Jajarkot,cultural,4923.28,Doti to Bajura to Achham to Kailali,cold
Rautahat,Rajdevi Temple,cultural,3714.58,,cold
Sindhuli,Sindhuligadhi Fort,cultural,4202.79,,rainy
Bajhang,Chainpur,cultural,868.76,Bajhang to Doti to Achham,sunny
Chitwan,Elephant Breeding Center,cultural,3545.7,,warm
Okhaldhunga,Chyangli,cultural,3129.37,Okhaldhunga to Sankhuwasabha to Terhathum to Panchthar,cold
Nuwakot,Nuwakot Durbar,cultural,2681.44,Nuwakot to Kathmandu to Bhaktapur to Sindhupalchok,warm
Achham,Mangalsen,cultural,3859.23,,any
Tanahun,Damauli,cultural,996.51,,rainy
Sankhuwasabha,Khandbari,cultural,1029.84,,rainy
Rautahat,Rajdevi Temple,cultural,625.9,Rautahat to Bara to Makwanpur,sunny
Rautahat,Rajdevi Temple,cultural,1323.85,,cold
Syangja,Galeshwor Temple,cultural,804.04,,sunny
Sarlahi,Malangwa,cultural,4551.29,,cold
Kavrepalanchok,Namobuddha Monastery,cultural,2771.44,,warm
Bajura,Badimalika Temple,cultural,4398.55,Bajura to Darchula to Kailali to Kanchanpur,rainy
Okhaldhunga,Chyangli,cultural,2934.48,Okhaldhunga to Udayapur to Sunsari to Dhankuta,any
Lalitpur,Bhaktapur Durbar Square,cultural,3335.49,,cold
Tanahun,Bandipur Village,cultural,1365.92,,cold
Kaski,Devis Fall,cultural,3877.51,,cold
Sunsari,Barahachhetra,cultural,4830.7,,sunny
Bajura,Badimalika Temple,cultural,4131.14,,cold
Bhaktapur,Nyatapola Temple,cultural,4378.88,,sunny
Dang,Deukhuri,cultural,4368.42,,rainy
Tanahun,Bandipur Village,cultural,2938.01,,sunny
Mustang,Lo Manthang,cultural,1880.57,,warm
Sindhuli,Sindhuligadhi Fort,cultural,622.27,,sunny
Sindhuli,Sindhuligadhi Fort,cultural,2357.7,,rainy
Tanahun,Bandipur Village,cultural,1411.52,,cold
Kailali,Dhangadhi,cultural,4772.11,,sunny
Syangja,Galeshwor Temple,cultural,794.56,,sunny
Lalitpur,Hiranya Varna Mahavihar (Golden Temple),cultural,2993.34,,cold
Syangja,Galeshwor Temple,cultural,1870.76,,warm
Nawalparasi,Lumbini,cultural,4022.97,,sunny
Makwanpur,Chitlang,cultural,2918.91,Makwanpur to Chitwan to Nawalparasi,warm
Doti,Jajarkot,cultural,3438.76,,sunny
Achham,Mangalsen,cultural,3190.4,,cold
Gorkha,Gorkha Durbar,cultural,3133.22,,cold
Sunsari,Barahachhetra,cultural,1852.87,,rainy
Kavrepalanchok,Namobuddha Monastery,cultural,4452.26,,sunny
Sindhuli,Sindhuligadhi Fort,cultural,3358.26,Sindhuli to Kavrepalanchok to Kathmandu,any
Dolakha,Kalinchowk Bhagwati Temple,cultural,2569.1,,cold
Kavrepalanchok,Namobuddha Monastery,cultural,3239.54,,sunny
Sindhupalchok,Bhimeshwar,cultural,3001.06,,cold
Okhaldhunga,Chyangli,cultural,4042.87,,cold
Lalitpur,Bhaktapur Durbar Square,cultural,2503.3,Lalitpur to Makwanpur to Parsa,sunny
Palpa,Tansen,cultural,4276.16,Palpa to Nawalparasi,cold
Lamjung,Madhya Nepal,cultural,2500.6,,sunny
Bara,Simraungadh,cultural,1361.8,,cold
Siraha,Lahan,cultural,4910.54,,any
Kailali,Dhangadhi,cultural,532.11,,any
Tanahun,Damauli,cultural,3060.96,,warm
Sindhupalchok,Bhimeshwar,cultural,3146.74,,cold
Siraha,Lahan,cultural,1363.33,Siraha to Sunsari to Udayapur to Saptari,cold
Kathmandu,Swayambhunath,cultural,3384.35,,any
Sindhuli,Sindhuligadhi Fort,cultural,4299.54,,warm
Sankhuwasabha,Khandbari,cultural,2730.09,,cold
Siraha,Lahan,cultural,1750.7,,warm
Kathmandu,Swayambhunath,cultural,1375.74,,sunny
Lalitpur,Bhaktapur Durbar Square,cultural,1515.33,Lalitpur to Kathmandu,cold
Makwanpur,Chitlang,cultural,1898.63,,cold
Achham,Mangalsen,cultural,4136.27,,cold
Dolakha,Kalinchowk Bhagwati Temple,cultural,1612.19,Dolakha to Sindhuli,warm
Sankhuwasabha,Khandbari,cultural,4745.96,,cold
Banke,Tharu Cultural Museum,cultural,3105.21,,sunny
Bhaktapur,Nyatapola Temple,cultural,1909.76,,cold
Kavrepalanchok,Namobuddha Monastery,cultural,4636.02,,warm
Bajhang,Chainpur,cultural,958.22,,sunny
Palpa,Rani Mahal,cultural,931.24,,cold
Kathmandu,Swayambhunath,cultural,2227.64,Kathmandu to Lalitpur to Makwanpur to Chitwan,cold
Doti,Jajarkot,cultural,3145.16,,sunny
Chitwan,Elephant Breeding Center,cultural,4569.66,,sunny
Gorkha,Manakamana Temple,cultural,2666.3,,cold
Kavrepalanchok,Namobuddha Monastery,cultural,772.21,,rainy
Gorkha,Manakamana Temple,cultural,3126.5,,cold
Achham,Mangalsen,cultural,3214.98,Achham to Kailali to Darchula to Bajhang,sunny
Kaski,Devis Fall,cultural,2781.99,Kaski to Manang,cold
Ramechhap,Tashi Ling Monastery,cultural,3382.5,,sunny
Ramechhap,Tashi Ling Monastery,cultural,3626.52,,any
Dolakha,Kalinchowk Bhagwati Temple,cultural,3272.46,,warm
Doti,Jajarkot,cultural,2731.69,,any
Siraha,Lahan,cultural,3307.64,Siraha to Sunsari to Saptari,sunny
Saptari,Rajbiraj,cultural,1329.1,,any
Chitwan,Elephant Breeding Center,cultural,635.08,,sunny
Ramechhap,Tashi Ling Monastery,cultural,697.57,,sunny
Sindhupalchok,Bhimeshwar,cultural,4484.22,,cold
Syangja,Galeshwor Temple,cultural,1303.44,Syangja to Lamjung,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,3446.91,,cold
Saptari,Rajbiraj,cultural,2552.92,,rainy
Makwanpur,Chitlang,cultural,4452.75,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,1362.57,,rainy
Bajhang,Chainpur,cultural,4644.56,,cold
Sunsari,Barahachhetra,cultural,4053.15,,rainy
Bara,Simraungadh,cultural,4331.76,Bara to Makwanpur,any
Mustang,Tiji Festival,cultural,4059.49,,cold
Palpa,Rani Mahal,cultural,2743.64,,warm
Lamjung,Madhya Nepal,cultural,3720.42,,warm
Okhaldhunga,Chyangli,cultural,1432.4,,cold
Dhanusha,Madhav Narayan Temple,cultural,1483.67,,warm
Makwanpur,Chitlang,cultural,1645.38,Makwanpur to Nawalparasi to Gulmi,sunny
Siraha,Lahan,cultural,2593.64,,cold
Doti,Jajarkot,cultural,2340.29,,cold
Palpa,Tansen,cultural,1308.05,,sunny
Gorkha,Gorkha Durbar,cultural,1825.33,,cold
Mustang,Tiji Festival,cultural,4669.73,,sunny
Bhaktapur,Taumadhi Square,cultural,1401.38,,sunny
Sarlahi,Malangwa,cultural,1357.89,,cold
Sunsari,Barahachhetra,cultural,538.4,Sunsari to Saptari to Morang,sunny
Kathmandu,Swayambhunath,cultural,3443.41,Kathmandu to Bhaktapur to Lalitpur,any
Saptari,Rajbiraj,cultural,1551.75,,cold
Doti,Jajarkot,cultural,2032.97,Doti to Kailali to Kanchanpur,sunny
Bajura,Badimalika Temple,cultural,4338.25,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,4745.09,Kavrepalanchok to Kathmandu to Bhaktapur,sunny
Dang,Deukhuri,cultural,3585.93,Dang to Pyuthan,warm
Sindhuli,Sindhuligadhi Fort,cultural,3054.1,,sunny
Dolakha,Kalinchowk Bhagwati Temple,cultural,4910.77,,sunny
Sunsari,Barahachhetra,cultural,1347.52,,sunny
Bajura,Badimalika Temple,cultural,919.59,,sunny
Bhaktapur,Taumadhi Square,cultural,3215.14,,sunny
Palpa,Rani Mahal,cultural,1426.52,,sunny
Doti,Jajarkot,cultural,2158.94,,sunny
Dang,Deukhuri,cultural,1206.66,,sunny
Achham,Mangalsen,cultural,2250.47,,any
Saptari,Rajbiraj,cultural,2444.9,,cold
Sarlahi,Malangwa,cultural,2761.14,,cold
Kathmandu,Pashupatinath Temple,cultural,2505.79,,cold
Dhanusha,Madhav Narayan Temple,cultural,4596.36,,cold
Bhaktapur,Taumadhi Square,cultural,909.96,Bhaktapur to Sindhupalchok to Kavrepalanchok,cold
Sarlahi,Malangwa,cultural,3258.62,,cold
Dhanusha,Janaki Temple,cultural,4549.84,,cold
Sindhupalchok,Bhimeshwar,cultural,2270.98,,any
Makwanpur,Chitlang,cultural,4471.5,Makwanpur to Rautahat,cold
Kailali,Dhangadhi,cultural,4965.75,Kailali to Kanchanpur,cold
Nawalparasi,Devghat,cultural,2345.43,,sunny
Bhaktapur,Nyatapola Temple,cultural,620.23,Bhaktapur to Lalitpur to Makwanpur,cold
Okhaldhunga,Chyangli,cultural,2285.03,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,3516.33,,warm
Mustang,Kagbeni,cultural,3456.6,,cold
Achham,Mangalsen,cultural,4287.03,,sunny
Banke,Tharu Cultural Museum,cultural,1823.65,,cold
Chitwan,Elephant Breeding Center,cultural,3548.22,,sunny
Saptari,Rajbiraj,cultural,4517.09,,cold
Kaski,Devis Fall,cultural,2257.78,,rainy
Kathmandu,Pashupatinath Temple,cultural,3975.84,Kathmandu to Bhaktapur to Lalitpur,cold
Mustang,Lo Manthang,cultural,2397.57,,any
Ramechhap,Tashi Ling Monastery,cultural,1492.56,Ramechhap to Dolakha to Kavrepalanchok to Bhaktapur,cold
Bhaktapur,Nyatapola Temple,cultural,2806.25,,cold
Ramechhap,Tashi Ling Monastery,cultural,4704.47,,rainy
Siraha,Lahan,cultural,976.48,,rainy
Sindhuli,Sindhuligadhi Fort,cultural,2251.34,,warm
Bara,Simraungadh,cultural,697.73,,cold
Kailali,Dhangadhi,cultural,3706.39,Kailali to Doti to Bajura to Bajhang,cold
Sindhuli,Sindhuligadhi Fort,cultural,3550.55,Sindhuli to Kavrepalanchok to Kathmandu,any
Achham,Mangalsen,cultural,2007.97,,cold
Palpa,Tansen,cultural,2765.39,,cold
Lalitpur,Bhaktapur Durbar Square,cultural,3915.23,,sunny
Bajhang,Chainpur,cultural,3288.95,,sunny
Rautahat,Rajdevi Temple,cultural,1182.52,,sunny
Bajura,Badimalika Temple,cultural,1104.2,Bajura to Darchula,rainy
Rautahat,Rajdevi Temple,cultural,1530.55,,cold
Saptari,Rajbiraj,cultural,4579.84,,cold
Siraha,Lahan,cultural,2846.62,,sunny
Chitwan,Elephant Breeding Center,cultural,814.93,,sunny
Nuwakot,Nuwakot Durbar,cultural,1065.02,,sunny
Saptari,Rajbiraj,cultural,2783.41,,warm
Makwanpur,Chitlang,cultural,1602.16,,sunny
Rautahat,Rajdevi Temple,cultural,4854.77,Rautahat to Bara to Makwanpur,sunny
Okhaldhunga,Chyangli,cultural,1254.95,,warm
Bajhang,Chainpur,cultural,4188.22,,cold
Palpa,Rani Mahal,cultural,4343.19,Palpa to Gulmi to Rolpa,cold
Sindhupalchok,Bhimeshwar,cultural,2212.03,,rainy
Syangja,Galeshwor Temple,cultural,823.73,,sunny
Nuwakot,Nuwakot Durbar,cultural,518.81,Nuwakot to Sindhupalchok to Dolakha,cold
Dang,Deukhuri,cultural,4867.22,,rainy
Chitwan,Elephant Breeding Center,cultural,4482.5,,any
Makwanpur,Chitlang,cultural,3933.28,Makwanpur to Parsa to Bara to Rautahat,any
Kaski,International Mountain Museum,cultural,4669.33,,cold
Bhaktapur,Nyatapola Temple,cultural,3339.29,Bhaktapur to Kathmandu to Nuwakot to Sindhupalchok,cold
Doti,Jajarkot,cultural,1644.3,Doti to Bajhang,cold
Tanahun,Bandipur Village,cultural,3399.79,,any
Mustang,Kagbeni,cultural,4594.77,,cold
Bajhang,Chainpur,cultural,3613.27,,cold
Palpa,Rani Mahal,cultural,3802.7,Palpa to Tanahun,cold
Gorkha,Gorkha Durbar,cultural,1710.6,Gorkha to Syangja to Lamjung to Kaski,sunny
Kailali,Dhangadhi,cultural,935.92,,cold
Dang,Deukhuri,cultural,3798.69,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,2689.12,,cold
Saptari,Rajbiraj,cultural,1404.23,Saptari to Udayapur,cold
Dang,Deukhuri,cultural,3320.77,Dang to Salyan,cold
Rautahat,Rajdevi Temple,cultural,2199.78,,sunny
Dhanusha,Madhav Narayan Temple,cultural,2683.37,,cold
Bara,Simraungadh,cultural,3493.95,,cold
Saptari,Rajbiraj,cultural,2190.5,Saptari to Udayapur to Khotang,cold
Dolakha,Kalinchowk Bhagwati Temple,cultural,2014.48,,cold
Sindhuli,Sindhuligadhi Fort,cultural,4734.46,,cold
Kaski,International Mountain Museum,cultural,4428.85,,cold
Okhaldhunga,Chyangli,cultural,615.56,,sunny
Dhanusha,Madhav Narayan Temple,cultural,2533.63,Dhanusha to Rautahat to Parsa to Bara,cold
Sindhuli,Sindhuligadhi Fort,cultural,3352.0,Sindhuli to Dolakha to Kavrepalanchok to Ramechhap,cold
Siraha,Lahan,cultural,2300.74,,cold
Bajhang,Chainpur,cultural,4940.92,Bajhang to Bajura to Doti to Achham,cold
Nuwakot,Nuwakot Durbar,cultural,1075.38,,cold
Syangja,Galeshwor Temple,cultural,1256.24,,warm
Sunsari,Barahachhetra,cultural,1595.1,Sunsari to Morang,sunny
Banke,Tharu Cultural Museum,cultural,4970.13,Banke to Salyan,sunny
Bara,Simraungadh,cultural,3736.29,Bara to Parsa to Makwanpur to Lalitpur,cold
Mustang,Kagbeni,cultural,1997.61,,sunny
Chitwan,Elephant Breeding Center,cultural,2196.55,Chitwan to Dhading to Gorkha,cold
Siraha,Lahan,cultural,1020.6,,sunny
Ramechhap,Tashi Ling Monastery,cultural,3077.78,,sunny
Palpa,Tansen,cultural,1898.6,,cold
Kathmandu,Thamel,luxury,4557.14,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,5162.5,,rainy
Kathmandu,Thamel,luxury,8697.73,,sunny
Kathmandu,Thamel,luxury,7976.48,Kathmandu to Sindhupalchok,any
Kathmandu,Thamel,luxury,6019.02,,cold
Kathmandu,Thamel,luxury,5960.2,,any
Kathmandu,Thamel,luxury,8623.08,Kathmandu to Lalitpur,sunny
Kathmandu,Thamel,luxury,7819.16,Kathmandu to Lalitpur,sunny
Kathmandu,Thamel,luxury,5379.5,,sunny
Kathmandu,Thamel,luxury,2574.59,,any
Kathmandu,Thamel,luxury,2778.56,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,6617.26,,sunny
Kathmandu,Thamel,luxury,3745.09,Kathmandu to Dhading,any
Kathmandu,Thamel,luxury,5012.45,Kathmandu to Lalitpur,any
Kathmandu,Thamel,luxury,9793.27,,sunny
Kathmandu,Thamel,luxury,9757.82,,warm
Kathmandu,Thamel,luxury,3926.84,Kathmandu to Nuwakot,sunny
Kathmandu,Thamel,luxury,8919.17,,cold
Kathmandu,Thamel,luxury,2092.82,,sunny
Kathmandu,Thamel,luxury,6694.8,,any
Kathmandu,Thamel,luxury,5071.68,Kathmandu to Sindhupalchok to Rasuwa,any
Kathmandu,Thamel,luxury,2507.99,Kathmandu to Nuwakot,any
Kathmandu,Thamel,luxury,6448.48,Kathmandu to Lalitpur to Bhaktapur,rainy
Kathmandu,Thamel,luxury,3445.31,,warm
Kathmandu,Thamel,luxury,2984.36,,sunny
Kathmandu,Thamel,luxury,6499.97,,any
Kathmandu,Thamel,luxury,4908.48,,rainy
Kathmandu,Thamel,luxury,4404.8,,any
Kathmandu,Thamel,luxury,3118.84,,sunny
Kathmandu,Thamel,luxury,7503.44,,cold
Kathmandu,Thamel,luxury,3133.34,,any
Kathmandu,Thamel,luxury,6734.27,Kathmandu to Lalitpur to Makwanpur,sunny
Kathmandu,Thamel,luxury,7198.15,,sunny
Kathmandu,Thamel,luxury,9521.59,,sunny
Kathmandu,Thamel,luxury,7715.56,,warm
Kathmandu,Thamel,luxury,8572.54,Kathmandu to Lalitpur to Bhaktapur,sunny
Kathmandu,Thamel,luxury,2996.97,,sunny
Kathmandu,Thamel,luxury,7121.42,,sunny
Kathmandu,Thamel,luxury,8950.84,,sunny
Kathmandu,Thamel,luxury,5029.06,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,2764.32,,sunny
Kathmandu,Thamel,luxury,6859.74,,any
Kathmandu,Thamel,luxury,4761.38,Kathmandu to Sindhupalchok to Kavrepalanchok to Sindhuli,any
Kathmandu,Thamel,luxury,4072.49,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,cold
Kathmandu,Thamel,luxury,9347.53,,warm
Kathmandu,Thamel,luxury,7654.29,Kathmandu to Sindhupalchok to Langtang,sunny
Kathmandu,Thamel,luxury,6164.76,Kathmandu to Dhading,any
Kathmandu,Thamel,luxury,5252.12,,sunny
Kathmandu,Thamel,luxury,7839.62,,any
Kathmandu,Thamel,luxury,7947.28,,warm
Kathmandu,Thamel,luxury,7416.26,,any
Kathmandu,Thamel,luxury,5243.77,Kathmandu to Lalitpur to Makwanpur to Parsa,warm
Kathmandu,Thamel,luxury,6858.99,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,any
Kathmandu,Thamel,luxury,6109.48,,any
Kathmandu,Thamel,luxury,4986.27,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,4393.42,,sunny
Kathmandu,Thamel,luxury,9384.45,Kathmandu to Lalitpur to Makwanpur to Nawalparasi,any
Kathmandu,Thamel,luxury,2047.13,,sunny
Kathmandu,Thamel,luxury,4797.77,,any
Kathmandu,Thamel,luxury,5446.43,,sunny
Kathmandu,Thamel,luxury,2990.74,,sunny
Kathmandu,Thamel,luxury,5765.59,,sunny
Kathmandu,Thamel,luxury,2869.56,Kathmandu to Bhaktapur,sunny
Kathmandu,Thamel,luxury,2046.48,Kathmandu to Bhaktapur,any
Kathmandu,Thamel,luxury,3069.44,,sunny
Kathmandu,Thamel,luxury,7329.64,Kathmandu to Lalitpur to Makwanpur,any
Kathmandu,Thamel,luxury,8398.56,,any
Kathmandu,Thamel,luxury,3051.34,Kathmandu to Bhaktapur,any
Kathmandu,Thamel,luxury,8139.08,Kathmandu to Nuwakot to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,5841.54,,sunny
Kathmandu,Thamel,luxury,6940.91,,any
Kathmandu,Thamel,luxury,8913.33,,any
Kathmandu,Thamel,luxury,5791.14,,any
Kathmandu,Thamel,luxury,9940.41,,warm
Kathmandu,Thamel,luxury,3058.37,Kathmandu to Nuwakot,sunny
Kathmandu,Thamel,luxury,2727.48,,sunny
Kathmandu,Thamel,luxury,3774.2,,sunny
Kathmandu,Thamel,luxury,4434.32,,sunny
Kathmandu,Thamel,luxury,3975.75,,any
Kathmandu,Thamel,luxury,7283.45,,sunny
Kathmandu,Thamel,luxury,5447.26,,sunny
Kathmandu,Thamel,luxury,2892.23,Kathmandu to Dhading,cold
Kathmandu,Thamel,luxury,7943.46,,warm
Kathmandu,Thamel,luxury,3680.27,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,6692.49,Kathmandu to Bhaktapur,any
Kathmandu,Thamel,luxury,2599.04,,rainy
Kathmandu,Thamel,luxury,6268.46,,sunny
Kathmandu,Thamel,luxury,9132.69,Kathmandu to Dhading to Rasuwa to Nuwakot,any
Kathmandu,Thamel,luxury,2541.67,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,2363.56,Kathmandu to Bhaktapur to Sindhupalchok to Dolakha,warm
Kathmandu,Thamel,luxury,5501.96,,rainy
Kathmandu,Thamel,luxury,6857.75,,sunny
Kathmandu,Thamel,luxury,9033.24,,any
Kathmandu,Thamel,luxury,8819.8,,sunny
Kathmandu,Thamel,luxury,3791.44,,rainy
Kathmandu,Thamel,luxury,9417.98,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,sunny
Kathmandu,Thamel,luxury,7061.46,,any
Kathmandu,Thamel,luxury,5266.74,,warm
Kathmandu,Thamel,luxury,8591.45,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,7780.82,Kathmandu to Sindhupalchok to Kavrepalanchok,cold
Kathmandu,Thamel,luxury,3765.11,,sunny
Kathmandu,Thamel,luxury,5568.45,,any
Kathmandu,Thamel,luxury,2749.53,,sunny
Kathmandu,Thamel,luxury,6557.26,,any
Kathmandu,Thamel,luxury,4481.28,Kathmandu to Sindhupalchok to Rasuwa to Langtang,any
Kathmandu,Thamel,luxury,5411.16,,sunny
Kathmandu,Thamel,luxury,7794.46,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,5071.92,,sunny
Kathmandu,Thamel,luxury,3986.74,,sunny
Kathmandu,Thamel,luxury,9660.94,Kathmandu to Lalitpur to Bhaktapur,sunny
Kathmandu,Thamel,luxury,8077.37,Kathmandu to Dhading to Nuwakot,any
Kathmandu,Thamel,luxury,2447.0,,cold
Kathmandu,Thamel,luxury,8599.4,,sunny
Kathmandu,Thamel,luxury,2009.68,,sunny
Kathmandu,Thamel,luxury,4826.48,Kathmandu to Nuwakot to Sindhupalchok to Rasuwa,sunny
Kathmandu,Thamel,luxury,9926.14,Kathmandu to Dhading to Chitwan,sunny
Kathmandu,Thamel,luxury,4883.95,,any
Kathmandu,Thamel,luxury,3424.54,,rainy
Kathmandu,Thamel,luxury,9144.94,,cold
Kathmandu,Thamel,luxury,9003.22,,sunny
Kathmandu,Thamel,luxury,8485.76,,any
Kathmandu,Thamel,luxury,8222.27,,sunny
Kathmandu,Thamel,luxury,8517.2,,sunny
Kathmandu,Thamel,luxury,2723.58,,any
Kathmandu,Thamel,luxury,4554.53,Kathmandu to Sindhupalchok to Bhaktapur,sunny
Kathmandu,Thamel,luxury,8417.13,,cold
Kathmandu,Thamel,luxury,6309.98,,sunny
Kathmandu,Thamel,luxury,2668.94,,any
Kathmandu,Thamel,luxury,3881.54,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,9367.23,,sunny
Kathmandu,Thamel,luxury,5683.11,,any
Kathmandu,Thamel,luxury,3685.9,Kathmandu to Bhaktapur,sunny
Kathmandu,Thamel,luxury,7568.98,,sunny
Kathmandu,Thamel,luxury,5814.61,,warm
Kathmandu,Thamel,luxury,3130.22,,sunny
Kathmandu,Thamel,luxury,8123.34,,sunny
Kathmandu,Thamel,luxury,5292.18,Kathmandu to Lalitpur to Makwanpur to Chitwan,sunny
Kathmandu,Thamel,luxury,9049.26,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,sunny
Kathmandu,Thamel,luxury,6433.25,Kathmandu to Dhading to Gorkha to Chitwan,any
Kathmandu,Thamel,luxury,9784.98,Kathmandu to Bhaktapur,rainy
Kathmandu,Thamel,luxury,3751.25,Kathmandu to Sindhupalchok to Nuwakot to Rasuwa,sunny
Kathmandu,Thamel,luxury,7221.6,,sunny
Kathmandu,Thamel,luxury,7173.18,,sunny
Kathmandu,Thamel,luxury,6825.52,,any
Kathmandu,Thamel,luxury,6332.54,,sunny
Kathmandu,Thamel,luxury,6413.53,,warm
Kathmandu,Thamel,luxury,9813.31,,warm
Kathmandu,Thamel,luxury,2384.39,,sunny
Kathmandu,Thamel,luxury,9669.91,,rainy
Kathmandu,Thamel,luxury,9790.81,,any
Kathmandu,Thamel,luxury,6017.42,,any
Kathmandu,Thamel,luxury,6690.87,,any
Kathmandu,Thamel,luxury,2630.02,Kathmandu to Bhaktapur,warm
Kathmandu,Thamel,luxury,9947.33,Kathmandu to Sindhupalchok to Langtang to Nuwakot,rainy
Kathmandu,Thamel,luxury,4326.73,Kathmandu to Nuwakot,warm
Kathmandu,Thamel,luxury,9976.08,Kathmandu to Nuwakot to Dhading to Chitwan,warm
Kathmandu,Thamel,luxury,6377.09,Kathmandu to Nuwakot,any
Kathmandu,Thamel,luxury,4509.75,,any
Kathmandu,Thamel,luxury,4826.95,Kathmandu to Dhading to Nuwakot,sunny
Kathmandu,Thamel,luxury,7202.34,,sunny
Kathmandu,Thamel,luxury,4907.78,,sunny
Kathmandu,Thamel,luxury,4933.86,Kathmandu to Lalitpur to Makwanpur,any
Kathmandu,Thamel,luxury,9019.27,,any
Kathmandu,Thamel,luxury,7597.96,,warm
Kathmandu,Thamel,luxury,5006.57,Kathmandu to Nuwakot,warm
Kathmandu,Thamel,luxury,4791.5,,sunny
Kathmandu,Thamel,luxury,2686.58,Kathmandu to Nuwakot to Dhading,any
Kathmandu,Thamel,luxury,2515.77,,sunny
