Name,City,District,Type,BestTimeToVisit
Ghodepani,Kaski,Kaski,Religious,Spring
Swayambhunath Stupa,Kathmandu,Kathmandu,Natural,Autumn
Bindabasini Temple (Bandipur),Tanahun,Tanahun,Cultural,Monsoon
Kagbeni,Mustang,Mustang,Historical,All Year
Namche Bazaar,Solukhumbu,Solukhumbu,Wildlife,Autumn
Barpak,Gorkha,Gorkha,Cultural,Monsoon
Kapilvastu Ruins,Kapilvastu,Kapilvastu,Adventure,Monsoon
Dharan Clock Tower,Sunsari,Sunsari,Wildlife,Monsoon
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Wildlife,Spring
Tindhare Waterfall,Sindhupalchok,Sindhupalchok,Natural,Monsoon
Kali Gandaki Gorge,Myagdi,Myagdi,Historical,Winter
Tindhare Waterfall,Sindhupalchok,Sindhupalchok,Religious,Monsoon
Jomsom,Mustang,Mustang,Cultural,Spring
Aathbish Danda,Lamjung,Lamjung,Adventure,Winter
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Natural,Autumn
Gahawa Mai Temple,Kapilvastu,Kapilvastu,Religious,All Year
Kushma Cliff Bridge,Parbat,Parbat,Natural,Autumn
Dhulikhel View Tower,Kavrepalanchok,Kavrepalanchok,Wildlife,Monsoon
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Adventure,All Year
Kharpunath,Darchula,Darchula,Adventure,Monsoon
Salpa Pokhari,Dolakha,Dolakha,Religious,Winter
Kali Gandaki Gorge,Myagdi,Myagdi,Natural,Spring
Mohare Danda,Syangja,Syangja,Cultural,Spring
Bhairabi Temple,Dolakha,Dolakha,Cultural,All Year
Siddhi Binayak,Kathmandu,Kathmandu,Adventure,Autumn
Bageshwori Temple,Banke,Banke,Wildlife,Spring
Ranighat Palace,Nawalpur,Nawalpur,Religious,Spring
Bungamati Village,Lalitpur,Lalitpur,Wildlife,Autumn
Gorkha Museum,Gorkha,Gorkha,Wildlife,Winter
Salyan Khalanga,Salyan,Salyan,Natural,Spring
Baundeshwor Cave,Chitwan,Chitwan,Adventure,Autumn
Gorkha Museum,Gorkha,Gorkha,Religious,Autumn
Jakhera Tal,Unknown,Unknown,Wildlife,Winter
Kalinchowk,Dolakha,Dolakha,Wildlife,Monsoon
Jomsom,Mustang,Mustang,Religious,All Year
Sisne Himal,Rukum,Rukum,Historical,Spring
International Mountain Museum,Kaski,Kaski,Religious,Winter
Dudh Kunda,Sankhuwasabha,Sankhuwasabha,Natural,All Year
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Adventure,Winter
Gahawa Mai Temple,Kapilvastu,Kapilvastu,Cultural,Spring
Gaurishankar Conservation Area,Dolakha,Dolakha,Adventure,Autumn
Rolpa Martyrs Trail,Rolpa,Rolpa,Cultural,All Year
Kapuche Glacier Lake,Dolpa,Dolpa,Adventure,Monsoon
Dhorpatan Valley,Baglung,Baglung,Adventure,Autumn
Silichho Peak,Dolakha,Dolakha,Adventure,Spring
Guerrilla Trek,Rolpa,Rolpa,Natural,All Year
Seti River Gorge,Doti,Doti,Wildlife,Autumn
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Religious,Spring
Swargadwari,Pyuthan,Pyuthan,Historical,Autumn
Chhahara Waterfall,Rukum,Rukum,Natural,Spring
Siddha Cave,Bajhang,Bajhang,Natural,Autumn
Banskharka Orange Farm,Syangja,Syangja,Cultural,All Year
Shey Phoksundo Lake,Dolpa,Dolpa,Wildlife,Spring
Lwang Ghalel Village,Lamjung,Lamjung,Natural,Monsoon
Tsho Rolpa Lake,Ramechhap,Ramechhap,Wildlife,Spring
Khaireni Hill,Chitwan,Chitwan,Religious,Winter
Banskharka Orange Farm,Syangja,Syangja,Natural,All Year
Davis Falls,Kaski,Kaski,Historical,All Year
Chandannath Temple,Jajarkot,Jajarkot,Historical,All Year
Mahaboudha Temple,Kathmandu,Kathmandu,Historical,Monsoon
Bungamati Village,Lalitpur,Lalitpur,Wildlife,Winter
Khopra Danda,Syangja,Syangja,Wildlife,Winter
Chhanwa Gumba,Sunsari,Sunsari,Cultural,Autumn
Rukumkot,Rukum,Rukum,Wildlife,Autumn
Khaireni Hill,Chitwan,Chitwan,Natural,Monsoon
Manaslu Base Camp,Gorkha,Gorkha,Religious,All Year
Bungamati Village,Lalitpur,Lalitpur,Wildlife,All Year
Namche Bazaar,Solukhumbu,Solukhumbu,Historical,Spring
Rolpa Martyrs Trail,Rolpa,Rolpa,Adventure,Spring
Tallo Dungeshwor,Dhading,Dhading,Adventure,Winter
Siddhi Binayak,Kathmandu,Kathmandu,Natural,Spring
Kagbeni,Mustang,Mustang,Adventure,Spring
Lumbini - Birthplace of Buddha,Rupandehi,Rupandehi,Historical,Autumn
Chitwan National Park,Chitwan,Chitwan,Religious,All Year
Bishazari Tal,Chitwan,Chitwan,Adventure,Monsoon
Everest Base Camp,Solukhumbu,Solukhumbu,Adventure,Winter
Kali Gandaki Gorge,Myagdi,Myagdi,Cultural,Monsoon
Dattatreya Temple,Bhaktapur,Bhaktapur,Religious,Monsoon
Bageshwori Temple,Banke,Banke,Wildlife,Autumn
Kamalbari Lake,Myagdi,Myagdi,Religious,Autumn
Siddha Cave,Bajhang,Bajhang,Cultural,Winter
Rara Lake,Mugu,Mugu,Historical,Spring
Ramaroshan Wetland,Achham,Achham,Natural,Autumn
Rukumkot,Rukum,Rukum,Adventure,All Year
Nuwakot Palace Complex,Nuwakot,Nuwakot,Cultural,Spring
Patan Durbar Square,Lalitpur,Lalitpur,Adventure,Spring
Phewa Lake,Kaski,Kaski,Cultural,Spring
Arun Valley,Sankhuwasabha,Sankhuwasabha,Historical,Monsoon
Bhujung Village,Lamjung,Lamjung,Natural,Monsoon
Jomsom,Mustang,Mustang,Wildlife,Winter
Naag Pokhari,Kathmandu,Kathmandu,Natural,Monsoon
Koshi Barrage,Saptari,Saptari,Natural,All Year
Khokana,Lalitpur,Lalitpur,Wildlife,Spring
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Adventure,All Year
Rukumkot,Rukum,Rukum,Natural,Autumn
Shey Phoksundo Lake,Dolpa,Dolpa,Natural,All Year
Kangchenjunga Base Camp,Taplejung,Taplejung,Wildlife,Spring
Khaireni Hill,Chitwan,Chitwan,Adventure,Autumn
Nuwakot Palace Complex,Nuwakot,Nuwakot,Historical,Monsoon
Tribeni Dham,Salyan,Salyan,Wildlife,Monsoon
Khaptad Baba Ashram,Doti,Doti,Natural,Autumn
Panchakanya Hill,Dhading,Dhading,Historical,Winter
Rani Mahal,Palpa,Palpa,Natural,Autumn
Garden of Dreams,Kathmandu,Kathmandu,Cultural,Monsoon
Hetauda Martyrs Park,Makwanpur,Makwanpur,Cultural,Winter
Kapuche Glacier Lake,Dolpa,Dolpa,Natural,Autumn
Piple Hill,Kailali,Kailali,Adventure,All Year
Khaptad Baba Ashram,Doti,Doti,Cultural,Winter
Boudhanath Stupa,Kathmandu,Kathmandu,Natural,Autumn
Tengboche Monastery,Solukhumbu,Solukhumbu,Religious,Spring
Birgunj Clock Tower,Parsa,Parsa,Cultural,Autumn
Namobuddha,Kavrepalanchok,Kavrepalanchok,Historical,Spring
Aathbish Danda,Lamjung,Lamjung,Religious,Spring
Tilicho Lake,Manang,Manang,Natural,All Year
Chamunda Temple,Sindhupalchok,Sindhupalchok,Adventure,Spring
Sirubari,Syangja,Syangja,Historical,Monsoon
Manaslu Base Camp,Gorkha,Gorkha,Natural,Autumn
Pashupatinath Temple,Kathmandu,Kathmandu,Historical,Winter
Sisne Himal,Rukum,Rukum,Natural,Autumn
Koshi Tappu Wildlife Reserve,Sunsari,Sunsari,Adventure,Spring
Musikot,Rukum,Rukum,Historical,Winter
Bindabasini Temple (Bandipur),Tanahun,Tanahun,Cultural,Autumn
Taudaha Lake,Kathmandu,Kathmandu,Wildlife,Winter
Dhaulagiri Base Camp,Myagdi,Myagdi,Natural,Autumn
Bandipur,Tanahun,Tanahun,Religious,Spring
International Mountain Museum,Kaski,Kaski,Adventure,Spring
Maipokhari,Ilam,Ilam,Cultural,Spring
Mohare Danda,Syangja,Syangja,Wildlife,Spring
Pakhure Pokhari,Syangja,Syangja,Cultural,Spring
Bhujung Village,Lamjung,Lamjung,Wildlife,Monsoon
Kakrebihar,Kailali,Kailali,Wildlife,All Year
Kapuche Glacier Lake,Dolpa,Dolpa,Wildlife,Autumn
Simbuwa Khola Valley,Terhathum,Terhathum,Adventure,Spring
Taudaha Lake,Kathmandu,Kathmandu,Cultural,Monsoon
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Adventure,Winter
Belbari Forest,Morang,Morang,Cultural,Monsoon
Shuklaphanta National Park,Kailali,Kailali,Cultural,Autumn
Tila River Valley,Jumla,Jumla,Natural,Winter
Jaleshwor Mahadev Temple,Mahottari,Mahottari,Religious,Monsoon
Dhorpatan Valley,Baglung,Baglung,Religious,Winter
Koshi Barrage,Saptari,Saptari,Religious,All Year
Taudaha Lake,Kathmandu,Kathmandu,Wildlife,Winter
Sailung Danda,Dolakha,Dolakha,Adventure,Monsoon
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Cultural,Winter
Triveni Dham,Darchula,Darchula,Religious,Autumn
Tindhare Waterfall,Sindhupalchok,Sindhupalchok,Historical,All Year
Lo Manthang,Mustang,Mustang,Cultural,Monsoon
Salpa Pokhari,Dolakha,Dolakha,Cultural,Monsoon
Thakurdwara,Bardiya,Bardiya,Adventure,All Year
Badhaiya Tal,Rukum,Rukum,Adventure,Spring
Badimalika Temple,Doti,Doti,Historical,Spring
Dhorpatan Valley,Baglung,Baglung,Natural,Spring
Bhimsen Temple,Bhaktapur,Bhaktapur,Natural,Spring
Mahaboudha Temple,Kathmandu,Kathmandu,Cultural,Monsoon
Sisne Himal,Rukum,Rukum,Historical,Winter
Janaki Mandir,Dhanusha,Dhanusha,Wildlife,Spring
Rupa Tal,Kaski,Kaski,Religious,Spring
Patal Bhuvaneshwor Cave,Lalitpur,Lalitpur,Cultural,Autumn
Kulekhani Reservoir,Makwanpur,Makwanpur,Adventure,All Year
Shuklaphanta National Park,Kailali,Kailali,Cultural,Autumn
Sirubari,Syangja,Syangja,Cultural,Winter
Sailung Danda,Dolakha,Dolakha,Religious,All Year
Bungamati Village,Lalitpur,Lalitpur,Cultural,Winter
Birgunj Clock Tower,Parsa,Parsa,Historical,Spring
Dhorpatan Hunting Reserve,Baglung,Baglung,Natural,Winter
Bindabasini Temple (Bandipur),Tanahun,Tanahun,Historical,Monsoon
Davis Falls,Kaski,Kaski,Historical,Spring
Bhedetar View Tower,Dhankuta,Dhankuta,Religious,Winter
Gorkha Museum,Gorkha,Gorkha,Historical,Monsoon
Khaptad National Park,Doti,Doti,Adventure,Autumn
Ridi Bazaar,Gulmi,Gulmi,Religious,Autumn
Gorkha Museum,Gorkha,Gorkha,Adventure,Winter
Numbur Cheese Circuit,Ramechhap,Ramechhap,Wildlife,Spring
Birgunj Clock Tower,Parsa,Parsa,Religious,Monsoon
Jaleshwor Mahadev Temple,Mahottari,Mahottari,Cultural,All Year
Bardia National Park,Bardiya,Bardiya,Natural,Monsoon
Kapuche Glacier Lake,Dolpa,Dolpa,Wildlife,Autumn
Sandakpur,Ilam,Ilam,Cultural,Monsoon
Chhimkeshwori Hill,Dhading,Dhading,Adventure,Winter
Salyan Khalanga,Salyan,Salyan,Religious,Winter
Manakamana Temple,Gorkha,Gorkha,Adventure,Spring
Tatopani Hot Spring,Myagdi,Myagdi,Cultural,Winter
Khaireni Hill,Chitwan,Chitwan,Wildlife,Autumn
Maula Kalika Temple,Parbat,Parbat,Adventure,Autumn
Koshi Barrage,Saptari,Saptari,Wildlife,Spring
Sirubari,Syangja,Syangja,Wildlife,Winter
Tilicho Lake,Manang,Manang,Wildlife,Autumn
Thakurdwara,Bardiya,Bardiya,Historical,All Year
Tsho Rolpa Lake,Ramechhap,Ramechhap,Wildlife,Spring
Chhintang,Sankhuwasabha,Sankhuwasabha,Religious,All Year
Gaurishankar Conservation Area,Dolakha,Dolakha,Natural,Autumn
Teku Dobhan,Unknown,Unknown,Cultural,Monsoon
Kangchenjunga Base Camp,Taplejung,Taplejung,Natural,Monsoon
Rupa Tal,Kaski,Kaski,Religious,Spring
Khaireni Hill,Chitwan,Chitwan,Cultural,Spring
Maipokhari,Ilam,Ilam,Historical,Winter
Tatopani,Myagdi,Myagdi,Adventure,Winter
Rani Pokhari,Kathmandu,Kathmandu,Religious,Spring
Ram Mandir,Kathmandu,Kathmandu,Wildlife,Autumn
World Peace Pagoda,Kaski,Kaski,Historical,Spring
Baglung Kalika Temple,Baglung,Baglung,Cultural,Spring
Ranighat Palace,Nawalpur,Nawalpur,Wildlife,Autumn
Dhulikhel View Tower,Kavrepalanchok,Kavrepalanchok,Natural,Spring
Pashupatinath Temple,Kathmandu,Kathmandu,Wildlife,Autumn
Thakurdwara,Bardiya,Bardiya,Historical,Autumn
Antu Danda,Ilam,Ilam,Historical,Autumn
Budhi Gandaki Valley,Gorkha,Gorkha,Cultural,Winter
Kapuche Glacier Lake,Dolpa,Dolpa,Wildlife,All Year
Kakrebihar,Kailali,Kailali,Wildlife,Spring
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Natural,All Year
Maipokhari,Ilam,Ilam,Adventure,Winter
Banskharka Orange Farm,Syangja,Syangja,Cultural,Spring
Lete,Mustang,Mustang,Adventure,Spring
Patal Bhuvaneshwor Cave,Lalitpur,Lalitpur,Historical,Monsoon
Charikot,Dolakha,Dolakha,Religious,All Year
Tansen Bazaar,Palpa,Palpa,Cultural,All Year
Patan Durbar Square,Lalitpur,Lalitpur,Wildlife,Monsoon
Charikot,Dolakha,Dolakha,Cultural,Spring
Gosaikunda,Rasuwa,Rasuwa,Cultural,All Year
Deurali Gumba,Syangja,Syangja,Wildlife,All Year
Gupteshwor Cave,Kaski,Kaski,Religious,Winter
Dakshinkali Temple,Kathmandu,Kathmandu,Wildlife,Winter
Rupa Lake,Kaski,Kaski,Historical,Spring
Chhahara Waterfall,Rukum,Rukum,Adventure,Monsoon
Begnas Lake,Kaski,Kaski,Religious,Monsoon
Kali Gandaki Gorge,Myagdi,Myagdi,Natural,All Year
Nuwakot Trishuli Dam,Nuwakot,Nuwakot,Religious,Monsoon
Musikot,Rukum,Rukum,Historical,Spring
Chhimkeshwori Hill,Dhading,Dhading,Wildlife,All Year
Kulekhani Reservoir,Makwanpur,Makwanpur,Cultural,Monsoon
Ghodepani,Kaski,Kaski,Natural,Spring
Panchase Hill,Syangja,Syangja,Adventure,All Year
Sirubari,Syangja,Syangja,Religious,All Year
Simbuwa Khola Valley,Terhathum,Terhathum,Historical,Winter
Maya Devi Temple,Rupandehi,Rupandehi,Religious,Autumn
Palung Valley,Makwanpur,Makwanpur,Cultural,Autumn
Numbur Cheese Circuit,Ramechhap,Ramechhap,Wildlife,Winter
Tatopani,Myagdi,Myagdi,Adventure,Winter
Palung Valley,Makwanpur,Makwanpur,Natural,Spring
Sailung Danda,Dolakha,Dolakha,Historical,All Year
Poon Hill,Kaski,Kaski,Religious,Monsoon
Sisne Himal,Rukum,Rukum,Natural,All Year
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Religious,Autumn
Khaireni Hill,Chitwan,Chitwan,Cultural,All Year
Tilicho Lake,Manang,Manang,Wildlife,Autumn
Sarangkot,Kaski,Kaski,Wildlife,All Year
Sisne Himal,Rukum,Rukum,Religious,Monsoon
Rupa Tal,Kaski,Kaski,Natural,All Year
Chamunda Temple,Sindhupalchok,Sindhupalchok,Wildlife,Winter
Sitalpati Market,Jhapa,Jhapa,Wildlife,Monsoon
Dhorpatan Hunting Reserve,Baglung,Baglung,Religious,All Year
Garden of Dreams,Kathmandu,Kathmandu,Adventure,Winter
Naag Pokhari,Kathmandu,Kathmandu,Cultural,All Year
Lete,Mustang,Mustang,Cultural,Monsoon
Chandragiri Hills,Kathmandu,Kathmandu,Cultural,Autumn
Dhaulagiri Base Camp,Myagdi,Myagdi,Natural,All Year
Lwang Ghalel Village,Lamjung,Lamjung,Wildlife,All Year
Shuklaphanta National Park,Kailali,Kailali,Religious,Winter
Begnas Lake,Kaski,Kaski,Cultural,Autumn
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Historical,Autumn
World Peace Pagoda,Kaski,Kaski,Wildlife,All Year
Manaslu Base Camp,Gorkha,Gorkha,Natural,Spring
Arun Valley,Sankhuwasabha,Sankhuwasabha,Religious,Monsoon
Bindabasini Temple (Bandipur),Tanahun,Tanahun,Wildlife,All Year
Sailung,Dolakha,Dolakha,Religious,Spring
Dattatreya Temple,Bhaktapur,Bhaktapur,Religious,Autumn
Guerrilla Trek,Rolpa,Rolpa,Religious,Monsoon
Gosaikunda,Rasuwa,Rasuwa,Cultural,All Year
Naag Pokhari,Kathmandu,Kathmandu,Natural,Winter
Maipokhari,Ilam,Ilam,Cultural,Autumn
Khaptad National Park,Doti,Doti,Adventure,Autumn
Jalbire Waterfall,Sindhupalchok,Sindhupalchok,Cultural,Monsoon
Bindhyabasini Temple,Kaski,Kaski,Adventure,All Year
Everest Base Camp,Solukhumbu,Solukhumbu,Wildlife,All Year
Aathbish Danda,Lamjung,Lamjung,Historical,Autumn
Khokana,Lalitpur,Lalitpur,Adventure,Winter
Sailung Danda,Dolakha,Dolakha,Adventure,Winter
Dhaulagiri Base Camp,Myagdi,Myagdi,Natural,Autumn
Ashoka Pillar,Rupandehi,Rupandehi,Historical,All Year
Kushma Cliff Bridge,Parbat,Parbat,Wildlife,All Year
Kamalbari Lake,Myagdi,Myagdi,Adventure,Autumn
Koshi Barrage,Saptari,Saptari,Natural,Spring
Budhi Gandaki Valley,Gorkha,Gorkha,Historical,Autumn
Deurali Gumba,Syangja,Syangja,Historical,Monsoon
Lwang Ghalel Village,Lamjung,Lamjung,Historical,Autumn
Pashupatinath Temple,Kathmandu,Kathmandu,Natural,All Year
Baraha Pokhari,Sankhuwasabha,Sankhuwasabha,Adventure,Winter
Bhairabi Temple,Dolakha,Dolakha,Wildlife,Spring
Resunga,Gulmi,Gulmi,Natural,Monsoon
Simbuwa Khola Valley,Terhathum,Terhathum,Natural,Spring
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Cultural,Autumn
Nagi Village,Myagdi,Myagdi,Religious,Autumn
International Mountain Museum,Kaski,Kaski,Historical,Spring
Tilicho Lake,Manang,Manang,Wildlife,Winter
Muktinath Temple,Mustang,Mustang,Cultural,All Year
Api Base Camp,Darchula,Darchula,Cultural,Spring
Bageshwori Temple,Banke,Banke,Adventure,Winter
Khopra Danda,Syangja,Syangja,Natural,Winter
Bindabasini Temple (Bandipur),Tanahun,Tanahun,Wildlife,All Year
Kamalbari Lake,Myagdi,Myagdi,Adventure,Monsoon
Ridi Bazaar,Gulmi,Gulmi,Cultural,Monsoon
Maula Kalika Temple,Parbat,Parbat,Religious,Winter
Tamang Heritage Trail,Rasuwa,Rasuwa,Cultural,Autumn
Gosaikunda,Rasuwa,Rasuwa,Historical,Autumn
Gokyo Lakes,Solukhumbu,Solukhumbu,Cultural,Winter
Shivapuri Nagarjun National Park,Kathmandu,Kathmandu,Historical,Spring
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Adventure,Winter
Taudaha Lake,Kathmandu,Kathmandu,Wildlife,Autumn
Simraungadh Ruins,Bara,Bara,Wildlife,All Year
Garden of Dreams,Kathmandu,Kathmandu,Adventure,Winter
Sisne Himal,Rukum,Rukum,Historical,Autumn
Hanuman Temple,Kathmandu,Kathmandu,Cultural,Spring
Aathbish Danda,Lamjung,Lamjung,Historical,Autumn
Chitwan National Park,Chitwan,Chitwan,Historical,All Year
International Mountain Museum,Kaski,Kaski,Natural,Autumn
Muktinath Temple,Mustang,Mustang,Historical,All Year
Kulekhani Reservoir,Makwanpur,Makwanpur,Historical,Monsoon
Manakamana Temple,Gorkha,Gorkha,Adventure,Autumn
Bageshwori Temple,Banke,Banke,Religious,Winter
Kanyam Tea Garden,Ilam,Ilam,Historical,Winter
Rupa Lake,Kaski,Kaski,Historical,Spring
Badimalika Temple,Doti,Doti,Wildlife,Autumn
Rani Pokhari,Kathmandu,Kathmandu,Religious,All Year
Barpak,Gorkha,Gorkha,Cultural,Monsoon
Silichho Peak,Dolakha,Dolakha,Cultural,Spring
Salpa Pokhari,Dolakha,Dolakha,Historical,Autumn
Nuwakot Palace Complex,Nuwakot,Nuwakot,Wildlife,Autumn
Banskharka Orange Farm,Syangja,Syangja,Historical,All Year
Nuwakot Palace Complex,Nuwakot,Nuwakot,Wildlife,Autumn
Aathbish Danda,Lamjung,Lamjung,Wildlife,Spring
Budhi Gandaki Valley,Gorkha,Gorkha,Wildlife,All Year
Barpak Village,Gorkha,Gorkha,Adventure,All Year
Ghale Gaun,Lamjung,Lamjung,Religious,Winter
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Religious,Monsoon
Gorkha Durbar,Gorkha,Gorkha,Historical,Winter
Simraungadh Ruins,Bara,Bara,Wildlife,All Year
Chhahara Waterfall,Rukum,Rukum,Natural,Autumn
Gokyo Lakes,Solukhumbu,Solukhumbu,Adventure,All Year
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Adventure,Spring
Maula Kalika Temple,Parbat,Parbat,Historical,Monsoon
Begnas Lake,Kaski,Kaski,Religious,Winter
Swayambhunath Stupa,Kathmandu,Kathmandu,Adventure,All Year
Syarpu Lake,Kaski,Kaski,Religious,Monsoon
Chhanwa Gumba,Sunsari,Sunsari,Adventure,Spring
Boudhanath Stupa,Kathmandu,Kathmandu,Natural,Winter
Chhahara Waterfall,Rukum,Rukum,Adventure,All Year
Sailung Danda,Dolakha,Dolakha,Wildlife,Monsoon
Muktinath Temple,Mustang,Mustang,Wildlife,All Year
Baraha Kshetra,Sunsari,Sunsari,Adventure,Spring
Pashupatinath Temple,Kathmandu,Kathmandu,Wildlife,Monsoon
Bhedetar Zipline,Dhankuta,Dhankuta,Adventure,Spring
Salyan Khalanga,Salyan,Salyan,Wildlife,Autumn
Koshi Barrage,Saptari,Saptari,Historical,All Year
Panchase Hill,Syangja,Syangja,Wildlife,Spring
Soti Khola,Solukhumbu,Solukhumbu,Natural,All Year
Baglung Kalika Temple,Baglung,Baglung,Adventure,Winter
Shivapuri Nagarjun National Park,Kathmandu,Kathmandu,Historical,Monsoon
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Wildlife,Monsoon
Kalinchowk,Dolakha,Dolakha,Adventure,Winter
Chhimkeshwori Hill,Dhading,Dhading,Cultural,All Year
Nuwakot Palace Complex,Nuwakot,Nuwakot,Wildlife,All Year
Bhedetar View Tower,Dhankuta,Dhankuta,Wildlife,Monsoon
Birgunj Clock Tower,Parsa,Parsa,Historical,Spring
Elephant Breeding Center,Chitwan,Chitwan,Natural,Autumn
Bajura Budhinanda Lake,Bajura,Bajura,Wildlife,Autumn
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Historical,Monsoon
Aathbish Danda,Lamjung,Lamjung,Natural,Spring
Shivapuri Nagarjun National Park,Kathmandu,Kathmandu,Cultural,Spring
Badimalika Temple,Doti,Doti,Natural,Autumn
Seti River Gorge,Doti,Doti,Cultural,Spring
Triveni Dham,Darchula,Darchula,Historical,Autumn
Bandipur,Tanahun,Tanahun,Natural,All Year
Thabang Village,Rolpa,Rolpa,Historical,Winter
Sandakpur,Ilam,Ilam,Wildlife,Winter
Garden of Dreams,Kathmandu,Kathmandu,Adventure,Spring
Sandakpur,Ilam,Ilam,Wildlife,Autumn
Panchakanya Hill,Dhading,Dhading,Cultural,Autumn
Chhahara Waterfall,Rukum,Rukum,Natural,All Year
Koshi Tappu Wildlife Reserve,Sunsari,Sunsari,Natural,All Year
Kharpunath,Darchula,Darchula,Religious,Monsoon
Daunne Hill,Chitwan,Chitwan,Historical,Winter
Dhulikhel View Tower,Kavrepalanchok,Kavrepalanchok,Adventure,Winter
Sarangkot,Kaski,Kaski,Natural,Monsoon
Tilicho Lake,Manang,Manang,Historical,All Year
Koshi Tappu Wildlife Reserve,Sunsari,Sunsari,Natural,All Year
Dattatreya Temple,Bhaktapur,Bhaktapur,Religious,Spring
Dhorpatan Hunting Reserve,Baglung,Baglung,Adventure,Monsoon
Sitalpati Market,Jhapa,Jhapa,Natural,Autumn
Kapuche Glacier Lake,Dolpa,Dolpa,Cultural,Autumn
Patal Bhuvaneshwor Cave,Lalitpur,Lalitpur,Wildlife,Monsoon
Kakrebihar,Kailali,Kailali,Natural,Winter
Nagi Village,Myagdi,Myagdi,Natural,Winter
Hanuman Dhoka,Kathmandu,Kathmandu,Cultural,Spring
Koshi Tappu Wildlife Reserve,Sunsari,Sunsari,Cultural,All Year
Simikot,Humla,Humla,Cultural,Autumn
Panauti,Kavrepalanchok,Kavrepalanchok,Natural,Monsoon
Siddha Gufa,Palpa,Palpa,Cultural,Spring
Ghale Gaun,Lamjung,Lamjung,Natural,Spring
Simraungadh Ruins,Bara,Bara,Adventure,Winter
Lete,Mustang,Mustang,Wildlife,Winter
Tatopani,Myagdi,Myagdi,Historical,Spring
Mallaj,Myagdi,Myagdi,Cultural,Autumn
Nyatapola Temple,Bhaktapur,Bhaktapur,Natural,Monsoon
Dhorpatan Hunting Reserve,Baglung,Baglung,Religious,Winter
Siddha Cave,Bajhang,Bajhang,Religious,Autumn
Khaptad Baba Ashram,Doti,Doti,Wildlife,All Year
Bardia National Park,Bardiya,Bardiya,Natural,Autumn
Jakhera Tal,Unknown,Unknown,Religious,Winter
Silichho Peak,Dolakha,Dolakha,Adventure,Monsoon
Chepang Hill Trail,Chitwan,Chitwan,Historical,Monsoon
Poon Hill,Kaski,Kaski,Religious,Monsoon
Maipokhari,Ilam,Ilam,Historical,Autumn
Siddha Cave,Bajhang,Bajhang,Cultural,Winter
Resunga,Gulmi,Gulmi,Historical,Winter
Dakshinkali Temple,Kathmandu,Kathmandu,Natural,All Year
Bhujung Village,Lamjung,Lamjung,Cultural,Monsoon
Davis Falls,Kaski,Kaski,Natural,Winter
Laprak,Gorkha,Gorkha,Natural,Spring
Madan Ashrit Memorial Park,Chitwan,Chitwan,Religious,Monsoon
Sundarijal,Kathmandu,Kathmandu,Religious,Monsoon
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Wildlife,All Year
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Cultural,Winter
Badhaiya Tal,Rukum,Rukum,Cultural,Monsoon
Aathbish Danda,Lamjung,Lamjung,Religious,Spring
Dhorpatan Hunting Reserve,Baglung,Baglung,Adventure,Monsoon
Panchase Hill,Syangja,Syangja,Historical,Winter
Banskharka Orange Farm,Syangja,Syangja,Cultural,Winter
Banskharka Orange Farm,Syangja,Syangja,Adventure,Winter
Lwang Ghalel Village,Lamjung,Lamjung,Historical,Spring
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Cultural,Winter
Salpa Pokhari,Dolakha,Dolakha,Historical,Monsoon
Gupteshwor Cave,Kaski,Kaski,Cultural,All Year
Charikot,Dolakha,Dolakha,Historical,Winter
Baraha Kshetra,Sunsari,Sunsari,Historical,All Year
Mahaboudha Temple,Kathmandu,Kathmandu,Natural,Winter
Panchakanya Hill,Dhading,Dhading,Natural,Monsoon
Antu Danda,Ilam,Ilam,Historical,Spring
Lo Manthang,Mustang,Mustang,Cultural,Spring
World Peace Pagoda,Kaski,Kaski,Cultural,All Year
Khaptad National Park,Doti,Doti,Natural,Monsoon
Bhujung Village,Lamjung,Lamjung,Wildlife,Monsoon
Chandannath Temple,Jajarkot,Jajarkot,Historical,Spring
Ram Mandir,Kathmandu,Kathmandu,Adventure,All Year
Taudaha Lake,Kathmandu,Kathmandu,Religious,All Year
Siddha Gufa,Palpa,Palpa,Wildlife,Monsoon
